VERB,NOUN,PRON,ADJ,ADV,ADP,CONJ,DET,NUM,PRT,.,X
18,34,5,5,3,18,2,9,2,1,11,0
5,39,1,3,0,3,0,1,8,1,29,0
11,44,3,2,0,17,2,4,4,1,14,0
18,50,6,6,3,25,3,16,5,2,9,0
5,19,2,0,3,9,1,2,2,0,5,0
12,69,2,11,1,23,1,10,5,0,24,0
36,71,11,6,2,30,2,18,9,6,23,0
41,56,17,6,3,34,3,16,10,2,17,0
20,32,2,4,1,17,0,16,3,4,9,0
30,66,9,7,4,42,7,17,13,7,18,0
22,50,2,5,5,21,2,18,8,4,30,0
46,75,12,6,8,36,1,24,10,7,23,0
31,71,9,7,2,27,4,17,14,5,30,0
24,37,8,8,8,17,6,6,1,4,10,0
18,26,8,6,1,13,0,8,4,5,12,0
19,54,5,7,3,25,3,13,4,3,17,0
21,33,6,1,7,18,4,9,5,3,10,0
13,20,1,4,1,11,3,4,5,1,4,0
13,24,0,1,1,13,0,8,7,1,7,0
11,14,5,2,1,8,0,8,2,0,3,0
8,35,0,0,1,14,1,2,12,0,21,0
3,80,0,3,0,6,0,0,21,0,34,0
19,48,6,2,0,20,0,9,7,2,9,0
10,21,4,2,0,16,1,5,8,2,8,0
4,24,1,0,0,11,0,8,3,2,4,0
8,30,2,1,3,13,0,7,5,3,12,0
18,25,4,0,2,11,2,6,2,3,5,0
4,47,0,0,3,7,6,10,1,5,14,0
10,18,0,0,1,7,1,4,4,1,5,0
17,56,3,6,5,21,2,8,8,0,13,0
28,39,7,9,7,20,6,7,4,6,10,0
12,23,2,2,1,6,2,6,4,2,6,0
12,38,1,1,2,13,1,10,5,1,4,0
16,35,3,2,3,14,1,15,2,4,7,0
10,18,1,0,0,8,1,4,1,1,2,0
41,50,20,9,13,23,6,13,1,3,11,0
43,68,10,3,2,29,3,20,13,8,25,0
13,29,2,3,3,12,2,6,2,0,5,0
28,49,5,5,4,16,0,22,2,3,13,0
30,46,10,9,2,26,5,22,5,7,10,0
17,28,5,1,2,13,1,11,6,0,8,0
22,36,7,2,4,13,2,18,2,6,11,0
8,21,2,0,0,7,0,4,4,1,5,0
801,1751,209,150,116,732,87,438,243,117,545,1
9,24,2,4,3,10,1,2,5,2,10,0
29,44,13,6,7,19,2,11,5,3,17,0
31,77,5,9,3,28,6,23,8,2,18,0
69,146,20,18,13,57,9,36,18,7,44,0
26,75,5,5,2,25,3,21,13,6,17,1
14,68,1,2,2,21,2,16,10,2,26,0
20,53,7,4,5,17,8,13,6,2,16,0
12,52,3,2,1,17,1,13,6,4,9,0
27,89,2,9,8,37,3,33,9,3,29,0
43,92,5,6,6,40,1,27,11,6,31,0
17,46,1,3,4,16,0,14,4,1,15,0
25,82,7,9,3,30,2,15,5,6,30,0
24,82,8,11,4,36,6,28,6,3,18,0
50,131,10,13,7,48,14,37,20,9,36,0
35,100,11,5,7,36,5,27,10,4,29,0
38,83,5,15,2,29,4,24,6,9,21,0
47,86,15,7,2,41,6,31,13,4,29,0
44,77,17,4,6,38,7,20,16,9,26,0
22,55,2,8,4,30,2,15,2,4,15,0
5,21,1,1,1,5,0,2,11,0,13,0
12,20,5,4,2,6,0,6,1,0,6,0
22,55,2,2,1,24,5,23,12,1,9,0
38,105,17,7,8,44,8,20,12,15,34,0
18,57,6,7,0,25,2,15,8,4,9,0
23,48,5,6,3,25,6,16,9,5,12,0
47,74,11,9,5,31,2,17,14,4,28,0
60,117,20,7,14,36,4,35,22,10,41,0
8,36,5,6,0,18,2,8,10,1,16,1
25,62,8,6,2,21,5,17,4,1,16,0
25,38,6,5,4,13,4,12,6,4,16,0
4,19,1,2,0,5,0,5,4,2,5,0
38,66,23,11,6,37,6,11,7,5,23,0
15,42,0,14,2,11,7,7,0,1,11,0
6,17,1,1,0,7,0,5,4,1,6,0
29,63,6,4,8,18,3,9,8,9,21,0
23,37,5,3,4,15,2,8,2,7,5,0
13,36,3,3,2,17,2,14,8,0,7,0
26,74,13,8,2,28,3,16,8,5,29,0
46,107,9,9,12,35,4,29,21,7,48,0
61,93,26,11,13,50,5,24,4,3,29,0
13,38,0,1,3,13,4,10,2,5,15,0
14,45,3,1,1,15,3,15,3,5,21,0
28,50,7,7,10,22,3,15,5,3,20,0
18,52,4,6,2,23,5,19,16,3,22,0
31,86,0,17,2,36,7,23,30,5,34,0
1092,2629,286,258,170,1043,157,714,368,178,841,3
