tokens,count,source
",",1644,"['CIA_01', 'CIA_02', 'CIA_03', 'CIA_04', 'CIA_05', 'CIA_06', 'CIA_07', 'CIA_08', 'CIA_09', 'CIA_10', 'CIA_11', 'CIA_12', 'CIA_13', 'CIA_14', 'CIA_15', 'CIA_16', 'CIA_17', 'CIA_18', 'CIA_19', 'CIA_20', 'CIA_21', 'CIA_22', 'CIA_23', 'CIA_24', 'CIA_25', 'CIA_26', 'CIA_27', 'CIA_28', 'CIA_29', 'CIA_30', 'CIA_31', 'CIA_32', 'CIA_33', 'CIA_34', 'CIA_36', 'CIA_37', 'CIA_38', 'CIA_39', 'CIA_40', 'CIA_41', 'CIA_42', 'CIA_43', 'CIA_docs.txt', 'DIA_01', 'DIA_02', 'DIA_03', 'DIA_docs.txt', 'FBI_01', 'FBI_02', 'FBI_03', 'FBI_04', 'FBI_05', 'FBI_06', 'FBI_07', 'FBI_08', 'FBI_09', 'FBI_10', 'FBI_11', 'FBI_12', 'FBI_13', 'FBI_14', 'FBI_15', 'FBI_16', 'FBI_17', 'FBI_18', 'FBI_19', 'FBI_20', 'FBI_21', 'FBI_22', 'FBI_23', 'FBI_24', 'FBI_25', 'FBI_26', 'FBI_27', 'FBI_28', 'FBI_29', 'FBI_30', 'FBI_31', 'FBI_32', 'FBI_33', 'FBI_34', 'FBI_35', 'FBI_36', 'FBI_37', 'FBI_38', 'FBI_39', 'FBI_40', 'FBI_41', 'FBI_docs.txt', 'NSA_01', 'NSA_02', 'NSA_03', 'NSA_04', 'NSA_05', 'NSA_06', 'NSA_07', 'NSA_08', 'NSA_09', 'NSA_10', 'NSA_11', 'NSA_12', 'NSA_13', 'NSA_14', 'NSA_15', 'NSA_16', 'NSA_17', 'NSA_18', 'NSA_19', 'NSA_20', 'NSA_21', 'NSA_22', 'NSA_docs.txt', 'USCBP_01', 'USCBP_02', 'USCBP_docs.txt']"
.,1222,"['CIA_01', 'CIA_02', 'CIA_03', 'CIA_04', 'CIA_05', 'CIA_06', 'CIA_07', 'CIA_08', 'CIA_09', 'CIA_10', 'CIA_11', 'CIA_12', 'CIA_13', 'CIA_14', 'CIA_15', 'CIA_16', 'CIA_17', 'CIA_18', 'CIA_19', 'CIA_20', 'CIA_21', 'CIA_22', 'CIA_23', 'CIA_24', 'CIA_25', 'CIA_26', 'CIA_27', 'CIA_28', 'CIA_29', 'CIA_30', 'CIA_31', 'CIA_32', 'CIA_33', 'CIA_34', 'CIA_35', 'CIA_36', 'CIA_37', 'CIA_38', 'CIA_39', 'CIA_40', 'CIA_41', 'CIA_42', 'CIA_43', 'CIA_docs.txt', 'DIA_01', 'DIA_02', 'DIA_03', 'DIA_docs.txt', 'FBI_01', 'FBI_02', 'FBI_03', 'FBI_04', 'FBI_05', 'FBI_06', 'FBI_07', 'FBI_08', 'FBI_09', 'FBI_10', 'FBI_11', 'FBI_12', 'FBI_13', 'FBI_14', 'FBI_15', 'FBI_16', 'FBI_17', 'FBI_18', 'FBI_19', 'FBI_20', 'FBI_21', 'FBI_22', 'FBI_23', 'FBI_24', 'FBI_25', 'FBI_26', 'FBI_27', 'FBI_28', 'FBI_29', 'FBI_31', 'FBI_32', 'FBI_33', 'FBI_34', 'FBI_35', 'FBI_36', 'FBI_37', 'FBI_38', 'FBI_39', 'FBI_40', 'FBI_41', 'FBI_docs.txt', 'NSA_01', 'NSA_02', 'NSA_03', 'NSA_04', 'NSA_05', 'NSA_06', 'NSA_07', 'NSA_08', 'NSA_09', 'NSA_10', 'NSA_11', 'NSA_12', 'NSA_13', 'NSA_14', 'NSA_15', 'NSA_16', 'NSA_17', 'NSA_18', 'NSA_19', 'NSA_20', 'NSA_21', 'NSA_22', 'NSA_docs.txt', 'USCBP_01', 'USCBP_02', 'USCBP_docs.txt']"
the,1124,"['CIA_01', 'CIA_03', 'CIA_04', 'CIA_05', 'CIA_06', 'CIA_07', 'CIA_08', 'CIA_09', 'CIA_10', 'CIA_11', 'CIA_12', 'CIA_13', 'CIA_14', 'CIA_15', 'CIA_16', 'CIA_17', 'CIA_19', 'CIA_20', 'CIA_21', 'CIA_23', 'CIA_24', 'CIA_25', 'CIA_26', 'CIA_27', 'CIA_28', 'CIA_29', 'CIA_30', 'CIA_31', 'CIA_32', 'CIA_33', 'CIA_34', 'CIA_35', 'CIA_36', 'CIA_37', 'CIA_38', 'CIA_39', 'CIA_40', 'CIA_41', 'CIA_42', 'CIA_43', 'CIA_docs.txt', 'DIA_01', 'DIA_02', 'DIA_03', 'DIA_docs.txt', 'FBI_01', 'FBI_02', 'FBI_03', 'FBI_04', 'FBI_05', 'FBI_06', 'FBI_07', 'FBI_08', 'FBI_09', 'FBI_10', 'FBI_11', 'FBI_12', 'FBI_13', 'FBI_14', 'FBI_15', 'FBI_16', 'FBI_17', 'FBI_18', 'FBI_19', 'FBI_20', 'FBI_21', 'FBI_22', 'FBI_23', 'FBI_24', 'FBI_25', 'FBI_26', 'FBI_27', 'FBI_28', 'FBI_29', 'FBI_30', 'FBI_31', 'FBI_32', 'FBI_33', 'FBI_34', 'FBI_35', 'FBI_36', 'FBI_37', 'FBI_38', 'FBI_39', 'FBI_40', 'FBI_41', 'FBI_docs.txt', 'NSA_01', 'NSA_02', 'NSA_03', 'NSA_04', 'NSA_05', 'NSA_06', 'NSA_07', 'NSA_08', 'NSA_09', 'NSA_10', 'NSA_11', 'NSA_12', 'NSA_13', 'NSA_14', 'NSA_15', 'NSA_16', 'NSA_17', 'NSA_18', 'NSA_19', 'NSA_20', 'NSA_21', 'NSA_22', 'NSA_docs.txt', 'USCBP_01', 'USCBP_02', 'USCBP_docs.txt']"
in,1072,"['CIA_01', 'CIA_03', 'CIA_04', 'CIA_05', 'CIA_06', 'CIA_07', 'CIA_08', 'CIA_09', 'CIA_10', 'CIA_11', 'CIA_12', 'CIA_13', 'CIA_14', 'CIA_15', 'CIA_16', 'CIA_17', 'CIA_18', 'CIA_19', 'CIA_20', 'CIA_23', 'CIA_24', 'CIA_25', 'CIA_26', 'CIA_27', 'CIA_28', 'CIA_29', 'CIA_30', 'CIA_31', 'CIA_32', 'CIA_33', 'CIA_34', 'CIA_35', 'CIA_36', 'CIA_37', 'CIA_38', 'CIA_39', 'CIA_40', 'CIA_42', 'CIA_43', 'CIA_docs.txt', 'DIA_01', 'DIA_02', 'DIA_03', 'DIA_docs.txt', 'FBI_01', 'FBI_02', 'FBI_03', 'FBI_04', 'FBI_05', 'FBI_06', 'FBI_07', 'FBI_08', 'FBI_09', 'FBI_10', 'FBI_11', 'FBI_12', 'FBI_13', 'FBI_14', 'FBI_15', 'FBI_16', 'FBI_17', 'FBI_18', 'FBI_19', 'FBI_20', 'FBI_21', 'FBI_22', 'FBI_23', 'FBI_24', 'FBI_25', 'FBI_26', 'FBI_27', 'FBI_28', 'FBI_29', 'FBI_30', 'FBI_31', 'FBI_32', 'FBI_33', 'FBI_34', 'FBI_35', 'FBI_36', 'FBI_37', 'FBI_38', 'FBI_39', 'FBI_41', 'FBI_docs.txt', 'NSA_01', 'NSA_02', 'NSA_03', 'NSA_04', 'NSA_05', 'NSA_06', 'NSA_07', 'NSA_08', 'NSA_09', 'NSA_10', 'NSA_11', 'NSA_12', 'NSA_13', 'NSA_14', 'NSA_15', 'NSA_16', 'NSA_17', 'NSA_18', 'NSA_19', 'NSA_20', 'NSA_21', 'NSA_22', 'NSA_docs.txt', 'USCBP_01', 'USCBP_02', 'USCBP_docs.txt']"
of,708,"['CIA_03', 'CIA_04', 'CIA_05', 'CIA_06', 'CIA_07', 'CIA_08', 'CIA_09', 'CIA_10', 'CIA_11', 'CIA_12', 'CIA_13', 'CIA_14', 'CIA_15', 'CIA_16', 'CIA_18', 'CIA_19', 'CIA_21', 'CIA_23', 'CIA_24', 'CIA_25', 'CIA_27', 'CIA_29', 'CIA_30', 'CIA_31', 'CIA_32', 'CIA_33', 'CIA_34', 'CIA_35', 'CIA_36', 'CIA_37', 'CIA_39', 'CIA_40', 'CIA_41', 'CIA_42', 'CIA_docs.txt', 'DIA_01', 'DIA_02', 'DIA_03', 'DIA_docs.txt', 'FBI_01', 'FBI_02', 'FBI_03', 'FBI_05', 'FBI_06', 'FBI_07', 'FBI_08', 'FBI_09', 'FBI_10', 'FBI_11', 'FBI_12', 'FBI_13', 'FBI_14', 'FBI_15', 'FBI_16', 'FBI_17', 'FBI_18', 'FBI_19', 'FBI_20', 'FBI_21', 'FBI_22', 'FBI_23', 'FBI_24', 'FBI_25', 'FBI_26', 'FBI_27', 'FBI_28', 'FBI_29', 'FBI_30', 'FBI_31', 'FBI_32', 'FBI_33', 'FBI_34', 'FBI_35', 'FBI_36', 'FBI_37', 'FBI_38', 'FBI_39', 'FBI_40', 'FBI_41', 'FBI_docs.txt', 'NSA_01', 'NSA_02', 'NSA_03', 'NSA_04', 'NSA_05', 'NSA_06', 'NSA_07', 'NSA_08', 'NSA_09', 'NSA_11', 'NSA_13', 'NSA_14', 'NSA_15', 'NSA_17', 'NSA_18', 'NSA_19', 'NSA_20', 'NSA_21', 'NSA_22', 'NSA_docs.txt', 'USCBP_01', 'USCBP_02', 'USCBP_docs.txt']"
a,678,"['CIA_01', 'CIA_02', 'CIA_03', 'CIA_04', 'CIA_06', 'CIA_07', 'CIA_08', 'CIA_09', 'CIA_10', 'CIA_11', 'CIA_12', 'CIA_13', 'CIA_14', 'CIA_15', 'CIA_16', 'CIA_17', 'CIA_18', 'CIA_19', 'CIA_20', 'CIA_23', 'CIA_24', 'CIA_25', 'CIA_26', 'CIA_27', 'CIA_28', 'CIA_30', 'CIA_32', 'CIA_33', 'CIA_34', 'CIA_36', 'CIA_37', 'CIA_38', 'CIA_39', 'CIA_40', 'CIA_41', 'CIA_42', 'CIA_43', 'CIA_docs.txt', 'DIA_01', 'DIA_02', 'DIA_03', 'DIA_docs.txt', 'FBI_01', 'FBI_02', 'FBI_03', 'FBI_04', 'FBI_05', 'FBI_06', 'FBI_07', 'FBI_08', 'FBI_09', 'FBI_10', 'FBI_11', 'FBI_12', 'FBI_13', 'FBI_14', 'FBI_15', 'FBI_17', 'FBI_18', 'FBI_19', 'FBI_20', 'FBI_21', 'FBI_22', 'FBI_23', 'FBI_24', 'FBI_25', 'FBI_26', 'FBI_28', 'FBI_29', 'FBI_30', 'FBI_31', 'FBI_32', 'FBI_33', 'FBI_34', 'FBI_35', 'FBI_36', 'FBI_37', 'FBI_38', 'FBI_39', 'FBI_40', 'FBI_41', 'FBI_docs.txt', 'NSA_01', 'NSA_02', 'NSA_03', 'NSA_04', 'NSA_05', 'NSA_06', 'NSA_07', 'NSA_08', 'NSA_09', 'NSA_10', 'NSA_11', 'NSA_12', 'NSA_13', 'NSA_14', 'NSA_15', 'NSA_17', 'NSA_18', 'NSA_19', 'NSA_20', 'NSA_21', 'NSA_22', 'NSA_docs.txt', 'USCBP_01', 'USCBP_02', 'USCBP_docs.txt']"
to,624,"['CIA_01', 'CIA_02', 'CIA_03', 'CIA_04', 'CIA_07', 'CIA_08', 'CIA_09', 'CIA_10', 'CIA_11', 'CIA_12', 'CIA_13', 'CIA_14', 'CIA_15', 'CIA_16', 'CIA_17', 'CIA_18', 'CIA_19', 'CIA_23', 'CIA_24', 'CIA_25', 'CIA_26', 'CIA_27', 'CIA_28', 'CIA_29', 'CIA_31', 'CIA_32', 'CIA_33', 'CIA_34', 'CIA_35', 'CIA_36', 'CIA_37', 'CIA_39', 'CIA_40', 'CIA_42', 'CIA_43', 'CIA_docs.txt', 'DIA_01', 'DIA_02', 'DIA_03', 'DIA_docs.txt', 'FBI_01', 'FBI_03', 'FBI_04', 'FBI_05', 'FBI_06', 'FBI_07', 'FBI_08', 'FBI_09', 'FBI_10', 'FBI_11', 'FBI_12', 'FBI_13', 'FBI_14', 'FBI_15', 'FBI_18', 'FBI_19', 'FBI_20', 'FBI_21', 'FBI_22', 'FBI_23', 'FBI_24', 'FBI_26', 'FBI_27', 'FBI_28', 'FBI_29', 'FBI_30', 'FBI_31', 'FBI_32', 'FBI_34', 'FBI_35', 'FBI_36', 'FBI_37', 'FBI_38', 'FBI_39', 'FBI_40', 'FBI_41', 'FBI_docs.txt', 'NSA_01', 'NSA_02', 'NSA_03', 'NSA_04', 'NSA_05', 'NSA_06', 'NSA_07', 'NSA_08', 'NSA_09', 'NSA_10', 'NSA_11', 'NSA_12', 'NSA_13', 'NSA_14', 'NSA_15', 'NSA_16', 'NSA_17', 'NSA_18', 'NSA_19', 'NSA_20', 'NSA_21', 'NSA_22', 'NSA_docs.txt', 'USCBP_01', 'USCBP_02', 'USCBP_docs.txt']"
and,468,"['CIA_01', 'CIA_03', 'CIA_04', 'CIA_05', 'CIA_06', 'CIA_07', 'CIA_08', 'CIA_10', 'CIA_11', 'CIA_12', 'CIA_13', 'CIA_14', 'CIA_16', 'CIA_17', 'CIA_18', 'CIA_21', 'CIA_24', 'CIA_27', 'CIA_28', 'CIA_29', 'CIA_30', 'CIA_31', 'CIA_32', 'CIA_33', 'CIA_34', 'CIA_35', 'CIA_36', 'CIA_37', 'CIA_38', 'CIA_40', 'CIA_42', 'CIA_docs.txt', 'DIA_01', 'DIA_02', 'DIA_03', 'DIA_docs.txt', 'FBI_01', 'FBI_02', 'FBI_03', 'FBI_04', 'FBI_05', 'FBI_06', 'FBI_08', 'FBI_09', 'FBI_10', 'FBI_11', 'FBI_12', 'FBI_13', 'FBI_14', 'FBI_15', 'FBI_18', 'FBI_19', 'FBI_20', 'FBI_21', 'FBI_22', 'FBI_23', 'FBI_24', 'FBI_25', 'FBI_26', 'FBI_28', 'FBI_29', 'FBI_31', 'FBI_32', 'FBI_33', 'FBI_34', 'FBI_35', 'FBI_36', 'FBI_37', 'FBI_38', 'FBI_39', 'FBI_40', 'FBI_41', 'FBI_docs.txt', 'NSA_03', 'NSA_06', 'NSA_10', 'NSA_12', 'NSA_13', 'NSA_14', 'NSA_17', 'NSA_19', 'NSA_20', 'NSA_docs.txt', 'USCBP_01', 'USCBP_02', 'USCBP_docs.txt']"
was,450,"['CIA_01', 'CIA_03', 'CIA_05', 'CIA_07', 'CIA_08', 'CIA_09', 'CIA_10', 'CIA_11', 'CIA_12', 'CIA_13', 'CIA_14', 'CIA_15', 'CIA_16', 'CIA_17', 'CIA_18', 'CIA_19', 'CIA_20', 'CIA_23', 'CIA_24', 'CIA_25', 'CIA_30', 'CIA_31', 'CIA_33', 'CIA_34', 'CIA_35', 'CIA_36', 'CIA_37', 'CIA_40', 'CIA_41', 'CIA_42', 'CIA_docs.txt', 'DIA_02', 'DIA_03', 'DIA_docs.txt', 'FBI_01', 'FBI_02', 'FBI_03', 'FBI_04', 'FBI_05', 'FBI_06', 'FBI_07', 'FBI_08', 'FBI_09', 'FBI_10', 'FBI_11', 'FBI_12', 'FBI_13', 'FBI_14', 'FBI_15', 'FBI_17', 'FBI_18', 'FBI_20', 'FBI_21', 'FBI_22', 'FBI_23', 'FBI_25', 'FBI_26', 'FBI_28', 'FBI_31', 'FBI_33', 'FBI_34', 'FBI_35', 'FBI_36', 'FBI_37', 'FBI_38', 'FBI_39', 'FBI_41', 'FBI_docs.txt', 'NSA_08', 'NSA_09', 'NSA_10', 'NSA_11', 'NSA_12', 'NSA_13', 'NSA_15', 'NSA_16', 'NSA_17', 'NSA_18', 'NSA_19', 'NSA_20', 'NSA_21', 'NSA_22', 'NSA_docs.txt', 'USCBP_01', 'USCBP_02', 'USCBP_docs.txt']"
on,444,"['CIA_01', 'CIA_03', 'CIA_04', 'CIA_05', 'CIA_06', 'CIA_07', 'CIA_08', 'CIA_10', 'CIA_11', 'CIA_12', 'CIA_13', 'CIA_14', 'CIA_15', 'CIA_16', 'CIA_17', 'CIA_18', 'CIA_19', 'CIA_20', 'CIA_21', 'CIA_23', 'CIA_24', 'CIA_25', 'CIA_26', 'CIA_27', 'CIA_29', 'CIA_30', 'CIA_31', 'CIA_34', 'CIA_36', 'CIA_37', 'CIA_38', 'CIA_39', 'CIA_40', 'CIA_41', 'CIA_42', 'CIA_docs.txt', 'DIA_02', 'DIA_03', 'DIA_docs.txt', 'FBI_01', 'FBI_02', 'FBI_04', 'FBI_05', 'FBI_06', 'FBI_07', 'FBI_08', 'FBI_09', 'FBI_10', 'FBI_11', 'FBI_12', 'FBI_13', 'FBI_14', 'FBI_15', 'FBI_16', 'FBI_17', 'FBI_19', 'FBI_20', 'FBI_22', 'FBI_23', 'FBI_25', 'FBI_26', 'FBI_28', 'FBI_29', 'FBI_30', 'FBI_31', 'FBI_32', 'FBI_33', 'FBI_34', 'FBI_35', 'FBI_36', 'FBI_38', 'FBI_39', 'FBI_40', 'FBI_41', 'FBI_docs.txt', 'NSA_01', 'NSA_02', 'NSA_04', 'NSA_05', 'NSA_06', 'NSA_08', 'NSA_09', 'NSA_10', 'NSA_12', 'NSA_14', 'NSA_15', 'NSA_16', 'NSA_17', 'NSA_18', 'NSA_19', 'NSA_20', 'NSA_21', 'NSA_22', 'NSA_docs.txt', 'USCBP_01', 'USCBP_02', 'USCBP_docs.txt']"
